t_Android;t_unix;x;y;z;a
437931432949506;1709137853950;9.0375;35.8875;-2.3625002;0
437931442949506;1709137853961;9.0375;35.8875;-2.3625002;0
437931452949506;1709137853971;9.0375;35.8875;-2.3625002;0
437931462949506;1709137853981;9.0375;35.8875;-2.3625002;0
437931472949506;1709137853991;9.0375;35.8875;-2.3625002;0
437931482949506;1709137854001;9.0375;35.8875;-2.3625002;0
437931492949506;1709137854011;9.0375;35.8875;-2.3625002;0
437931502949506;1709137854021;9.0375;35.8875;-2.3625002;0
437931512949506;1709137854031;9.0375;35.8875;-2.3625002;0
437931522949506;1709137854041;9.0375;35.8875;-2.3625002;0
437931532949506;1709137854051;9.0375;35.8875;-2.3625002;0
437931542949506;1709137854061;9.0375;35.8875;-2.3625002;0
437931552949506;1709137854071;9.0375;35.8875;-2.3625002;0
437931562949506;1709137854081;9.0375;35.8875;-2.3625002;0
437931572949506;1709137854091;9.0375;35.8875;-2.3625002;0
437931582949506;1709137854101;9.0375;35.8875;-2.3625002;0
437931592949506;1709137854111;9.0375;35.8875;-2.3625002;0
437931602949506;1709137854121;9.0375;35.8875;-2.3625002;0
437931612949506;1709137854131;9.0375;35.8875;-2.3625002;0
437931622949506;1709137854141;9.0375;35.8875;-2.3625002;0
437931632949506;1709137854151;9.0375;35.8875;-2.3625002;0
437931642949506;1709137854161;9.0375;35.8875;-2.3625002;0
437931652949506;1709137854171;9.0375;35.8875;-2.3625002;0
437931662949506;1709137854181;9.0375;35.8875;-2.3625002;0
437931672949506;1709137854191;9.0375;35.8875;-2.3625002;0
437931682949506;1709137854201;9.0375;35.8875;-2.3625002;0
