t_Android;t_unix;x;y;z;a
437931126276850;1709137853642;0.6547361;-4.039982;9.29163;3
437931128748985;1709137853645;0.6547361;-4.039982;9.29163;3
437931131221068;1709137853647;0.6547361;-4.039982;9.29163;3
437931133693152;1709137853650;0.6547361;-4.039982;9.29163;3
437931136165235;1709137853652;0.6547361;-4.039982;9.29163;3
437931138637371;1709137853655;0.6547361;-4.039982;9.29163;3
437931141109454;1709137853657;0.6547361;-4.039982;9.29163;3
437931143581537;1709137853660;0.6547361;-4.039982;9.29163;3
437931146053673;1709137853662;0.6547361;-4.039982;9.29163;3
437931148525756;1709137853665;0.6547361;-4.039982;9.29163;3
437931150997839;1709137853667;0.6547361;-4.039982;9.29163;3
437931153469923;1709137853669;0.6547361;-4.039982;9.29163;3
437931155942058;1709137853672;0.6547361;-4.039982;9.29163;3
437931158414141;1709137853675;0.6547361;-4.039982;9.29163;3
437931160886225;1709137853677;0.6547361;-4.039982;9.29163;3
437931163358360;1709137853679;0.6547361;-4.039982;9.29163;3
437931165830443;1709137853682;0.6547361;-4.039982;9.29163;3
437931168302527;1709137853684;0.6547361;-4.039982;9.29163;3
437931170774610;1709137853687;0.6547361;-4.039982;9.29163;3
437931173246746;1709137853689;0.6547361;-4.039982;9.29163;3
437931175718829;1709137853692;0.6547361;-4.039982;9.29163;3
437931178190912;1709137853694;0.6547361;-4.039982;9.29163;3
437931180662996;1709137853697;0.6547361;-4.039982;9.29163;3
437931183135131;1709137853699;0.6547361;-4.039982;9.29163;3
437931185607214;1709137853702;0.6547361;-4.039982;9.29163;3
437931188079298;1709137853704;0.6547361;-4.039982;9.29163;3
437931190551381;1709137853707;0.6547361;-4.039982;9.29163;3
437931193023516;1709137853709;0.6547361;-4.039982;9.29163;3
437931195495600;1709137853712;0.6547361;-4.039982;9.29163;3
437931197967683;1709137853714;0.6547361;-4.039982;9.29163;3
437931200439818;1709137853716;0.6547361;-4.039982;9.29163;3
437931202911902;1709137853719;0.6547361;-4.039982;9.29163;3
437931205383985;1709137853722;0.6547361;-4.039982;9.29163;3
437931207856068;1709137853724;0.6547361;-4.039982;9.29163;3
437931210328204;1709137853726;0.6547361;-4.039982;9.29163;3
437931212800287;1709137853729;0.6547361;-4.039982;9.29163;3
437931215272371;1709137853731;0.6547361;-4.039982;9.29163;3
437931217744454;1709137853734;0.6547361;-4.039982;9.29163;3
437931220216589;1709137853736;0.6547361;-4.039982;9.29163;3
437931222688673;1709137853739;0.6547361;-4.039982;9.29163;3
437931225160756;1709137853741;0.6547361;-4.039982;9.29163;3
437931227632891;1709137853744;0.6547361;-4.039982;9.29163;3
437931230104975;1709137853746;0.6547361;-4.039982;9.29163;3
437931232577058;1709137853749;0.6547361;-4.039982;9.29163;3
437931235049141;1709137853751;0.6547361;-4.039982;9.29163;3
437931237521277;1709137853754;0.6547361;-4.039982;9.29163;3
437931239993360;1709137853757;0.6547361;-4.039982;9.29163;3
437931242465443;1709137853758;0.6547361;-4.039982;9.29163;3
437931244937527;1709137853761;0.6547361;-4.039982;9.29163;3
437931247409662;1709137853763;0.6547361;-4.039982;9.29163;3
437931249881746;1709137853766;0.6547361;-4.039982;9.29163;3
437931252353829;1709137853768;0.6547361;-4.039982;9.29163;3
437931254825964;1709137853771;0.6547361;-4.039982;9.29163;3
437931257298048;1709137853773;0.6547361;-4.039982;9.29163;3
437931259770131;1709137853776;0.6547361;-4.039982;9.29163;3
437931262242214;1709137853778;0.6547361;-4.039982;9.29163;3
437931264714350;1709137853781;0.6547361;-4.039982;9.29163;3
437931267186433;1709137853783;0.6547361;-4.039982;9.29163;3
437931269658516;1709137853786;0.6547361;-4.039982;9.29163;3
437931272130600;1709137853788;0.6547361;-4.039982;9.29163;3
437931274602735;1709137853791;0.6547361;-4.039982;9.29163;3
437931277074818;1709137853793;0.6547361;-4.039982;9.29163;3
